CookerStat, GenerateAssetRegistry=0.038918, Initialize=0.158232, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_0, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=22.521910, FlushAsyncLoading=0.036351, FlushStreamingFunc=0.190735, BlockTillAllRequestsFinished=0.064146, ResetLoadersForSaveUnMarkAllObjects=0.919882, TagPackageExports=5.971316, BeginCacheForCookedPlatformData=0.011548, SerializeImports=14.620170, GatherLocalizableTextData=46.029137, MarkNames=0.370346, SerializeSummary=0.106059, SerializeNames=1.449745, SerializeGatherableTextData=0.150103, BuildExportMap=1.037914, SortExportsNonSeekfree=2.404694, SortExportsSeekfreeConstructor=0.259157, SortExportsSeekfreeInner=50.631962, SortExportsSeekfree=0.024378, BuildDependencyMap=3.281381, SerializeImportMap=0.186455, SerializeExportMap=0.213828, SerializeDependencyMap=0.057735, SerializeStringAssetReferenceMap=0.018388, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.840883, SerializeExports=25.077139, SerializeBulkData=724.155762, MoveFile=9.013209, UnaccountedTime=6.360482, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_1, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=1.309473, FlushAsyncLoading=0.003420, FlushStreamingFunc=0.058588, BlockTillAllRequestsFinished=0.005562, ResetLoadersForSaveUnMarkAllObjects=0.148393, TagPackageExports=1.125582, BeginCacheForCookedPlatformData=0.002138, SerializeImports=2.086949, GatherLocalizableTextData=9.947632, MarkNames=0.062864, SerializeSummary=0.014115, SerializeNames=0.363931, SerializeGatherableTextData=0.045758, BuildExportMap=0.252746, SortExportsNonSeekfree=0.561506, SortExportsSeekfreeConstructor=0.070993, SortExportsSeekfreeInner=10.265805, SortExportsSeekfree=0.005562, BuildDependencyMap=0.090234, SerializeImportMap=0.044476, SerializeExportMap=0.037633, SerializeDependencyMap=0.007272, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.086667, SerializeExports=4.858993, SerializeBulkData=152.535233, MoveFile=2.679676, UnaccountedTime=1.478396, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_2, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/TwinStickPawn.uasset, AutoPackageBackupDelegate=3.565341, FlushAsyncLoading=0.007700, FlushStreamingFunc=0.034638, BlockTillAllRequestsFinished=0.003852, ResetLoadersForSaveUnMarkAllObjects=0.149678, TagPackageExports=14.387526, BeginCacheForCookedPlatformData=0.006415, SerializeImports=15.162006, GatherLocalizableTextData=11.874635, MarkNames=0.098363, SerializeSummary=0.014968, SerializeNames=0.331428, SerializeGatherableTextData=0.111192, BuildExportMap=0.269420, SortExportsNonSeekfree=2.775039, SortExportsSeekfreeConstructor=0.008553, SortExportsSeekfreeInner=16.318806, SortExportsSeekfree=0.007272, BuildDependencyMap=0.131715, SerializeImportMap=0.023521, SerializeExportMap=0.083394, SerializeDependencyMap=0.014968, SerializeStringAssetReferenceMap=0.002138, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.200524, SerializeExports=17.471760, SerializeBulkData=0.009406, MoveFile=1.708470, UnaccountedTime=1.282532, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_3, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=1.460433, FlushAsyncLoading=0.003420, FlushStreamingFunc=0.070564, BlockTillAllRequestsFinished=0.004277, ResetLoadersForSaveUnMarkAllObjects=0.111617, TagPackageExports=0.871129, BeginCacheForCookedPlatformData=0.001281, SerializeImports=1.690086, GatherLocalizableTextData=8.687340, MarkNames=0.062011, SerializeSummary=0.014540, SerializeNames=0.368208, SerializeGatherableTextData=0.039771, BuildExportMap=0.254028, SortExportsNonSeekfree=0.552528, SortExportsSeekfreeConstructor=0.064574, SortExportsSeekfreeInner=10.407790, SortExportsSeekfree=0.005558, BuildDependencyMap=0.091519, SerializeImportMap=0.047043, SerializeExportMap=0.038490, SerializeDependencyMap=0.007700, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.974622, SerializeExports=4.569899, SerializeBulkData=146.118729, MoveFile=1.834631, UnaccountedTime=1.330428, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_4, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/TwinStickPawn.uasset, AutoPackageBackupDelegate=1.510043, FlushAsyncLoading=0.002991, FlushStreamingFunc=0.031218, BlockTillAllRequestsFinished=0.002995, ResetLoadersForSaveUnMarkAllObjects=0.096221, TagPackageExports=13.231579, BeginCacheForCookedPlatformData=0.005133, SerializeImports=14.145046, GatherLocalizableTextData=11.952471, MarkNames=0.084676, SerializeSummary=0.016250, SerializeNames=0.338700, SerializeGatherableTextData=0.125304, BuildExportMap=0.268992, SortExportsNonSeekfree=2.809681, SortExportsSeekfreeConstructor=0.012401, SortExportsSeekfreeInner=16.586515, SortExportsSeekfree=0.007272, BuildDependencyMap=0.135992, SerializeImportMap=0.021812, SerializeExportMap=0.081681, SerializeDependencyMap=0.013258, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.023905, SerializeExports=17.744173, SerializeBulkData=0.008553, MoveFile=1.702912, UnaccountedTime=1.368917, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_5, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=21.894115, FlushAsyncLoading=0.027798, FlushStreamingFunc=0.230078, BlockTillAllRequestsFinished=0.018388, ResetLoadersForSaveUnMarkAllObjects=0.587597, TagPackageExports=5.320430, BeginCacheForCookedPlatformData=0.012830, SerializeImports=8.788265, GatherLocalizableTextData=43.085602, MarkNames=0.242908, SerializeSummary=0.051316, SerializeNames=1.396716, SerializeGatherableTextData=0.147112, BuildExportMap=1.060154, SortExportsNonSeekfree=2.549238, SortExportsSeekfreeConstructor=0.231359, SortExportsSeekfreeInner=51.503094, SortExportsSeekfree=0.019673, BuildDependencyMap=0.346825, SerializeImportMap=0.116751, SerializeExportMap=0.171915, SerializeDependencyMap=0.027798, SerializeStringAssetReferenceMap=0.006843, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.458854, SerializeExports=23.510647, SerializeBulkData=691.504028, MoveFile=7.462543, UnaccountedTime=5.948652, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_6, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/Test.uasset, AutoPackageBackupDelegate=0.165503, FlushAsyncLoading=0.003420, FlushStreamingFunc=0.083391, BlockTillAllRequestsFinished=0.004277, ResetLoadersForSaveUnMarkAllObjects=0.100501, TagPackageExports=1.120880, BeginCacheForCookedPlatformData=0.002138, SerializeImports=1.579750, GatherLocalizableTextData=0.889946, MarkNames=0.015821, SerializeSummary=0.008982, SerializeNames=0.079114, SerializeGatherableTextData=0.005133, BuildExportMap=0.049606, SortExportsNonSeekfree=0.070993, SortExportsSeekfreeConstructor=0.051316, SortExportsSeekfreeInner=2.328571, SortExportsSeekfree=0.002995, BuildDependencyMap=0.016250, SerializeImportMap=0.007700, SerializeExportMap=0.009835, SerializeDependencyMap=0.003420, SerializeStringAssetReferenceMap=0.002138, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.224516, SerializeExports=1.547251, SerializeBulkData=0.005130, MoveFile=2.007831, UnaccountedTime=1.358651, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_7, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=0.142835, FlushAsyncLoading=0.003848, FlushStreamingFunc=0.126585, BlockTillAllRequestsFinished=0.004705, ResetLoadersForSaveUnMarkAllObjects=0.159513, TagPackageExports=1.653735, BeginCacheForCookedPlatformData=0.002995, SerializeImports=4.172608, GatherLocalizableTextData=1.419380, MarkNames=0.048324, SerializeSummary=0.040200, SerializeNames=0.158232, SerializeGatherableTextData=0.005130, BuildExportMap=0.106487, SortExportsNonSeekfree=0.140697, SortExportsSeekfreeConstructor=0.111617, SortExportsSeekfreeInner=4.886791, SortExportsSeekfree=0.006415, BuildDependencyMap=0.050463, SerializeImportMap=0.007272, SerializeExportMap=0.034638, SerializeDependencyMap=0.004705, SerializeStringAssetReferenceMap=0.029080, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.480682, SerializeExports=1.991153, SerializeBulkData=0.005987, MoveFile=2.076682, UnaccountedTime=1.597714, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_8, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/MyGetPlaybackActor.uasset, AutoPackageBackupDelegate=0.126585, FlushAsyncLoading=0.002995, FlushStreamingFunc=0.055596, BlockTillAllRequestsFinished=0.003848, ResetLoadersForSaveUnMarkAllObjects=0.147112, TagPackageExports=0.007700, BeginCacheForCookedPlatformData=0.001710, SerializeImports=0.562362, GatherLocalizableTextData=0.010263, MarkNames=0.003852, SerializeSummary=0.011116, SerializeNames=0.008553, SerializeGatherableTextData=0.000857, BuildExportMap=0.006843, SortExportsNonSeekfree=0.002138, SortExportsSeekfreeConstructor=0.059869, SortExportsSeekfreeInner=0.007700, SortExportsSeekfree=0.002138, BuildDependencyMap=0.003848, SerializeImportMap=0.050891, SerializeExportMap=0.048324, SerializeDependencyMap=0.001281, SerializeStringAssetReferenceMap=0.001285, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.014968, SerializeExports=0.004277, SerializeBulkData=0.003848, MoveFile=1.684096, UnaccountedTime=1.338553, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_9, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=2.642039, FlushAsyncLoading=0.008125, FlushStreamingFunc=0.077832, BlockTillAllRequestsFinished=0.005133, ResetLoadersForSaveUnMarkAllObjects=0.166357, TagPackageExports=1.409117, BeginCacheForCookedPlatformData=0.004701, SerializeImports=2.418380, GatherLocalizableTextData=0.978895, MarkNames=0.018392, SerializeSummary=0.012830, SerializeNames=0.083391, SerializeGatherableTextData=0.005558, BuildExportMap=0.059444, SortExportsNonSeekfree=0.085957, SortExportsSeekfreeConstructor=0.054743, SortExportsSeekfreeInner=2.365347, SortExportsSeekfree=0.004705, BuildDependencyMap=0.020098, SerializeImportMap=0.012830, SerializeExportMap=0.015821, SerializeDependencyMap=0.002567, SerializeStringAssetReferenceMap=0.002138, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.313897, SerializeExports=2.296496, SerializeBulkData=0.008125, MoveFile=2.058722, UnaccountedTime=1.421519, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_10, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=1.847886, FlushAsyncLoading=0.003852, FlushStreamingFunc=0.066712, BlockTillAllRequestsFinished=0.004277, ResetLoadersForSaveUnMarkAllObjects=0.118889, TagPackageExports=1.355659, BeginCacheForCookedPlatformData=0.003420, SerializeImports=2.009112, GatherLocalizableTextData=1.134563, MarkNames=0.022240, SerializeSummary=0.013683, SerializeNames=0.097934, SerializeGatherableTextData=0.006843, BuildExportMap=0.085529, SortExportsNonSeekfree=0.094082, SortExportsSeekfreeConstructor=0.059444, SortExportsSeekfreeInner=2.677537, SortExportsSeekfree=0.003848, BuildDependencyMap=0.018388, SerializeImportMap=0.006843, SerializeExportMap=0.011548, SerializeDependencyMap=0.002567, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.283532, SerializeExports=1.739692, SerializeBulkData=0.004277, MoveFile=1.771338, UnaccountedTime=3.426783, RunGuid=RunID1BA673D9441916A61D887685D2749069
